strategy,query_id,query,category,difficulty,match_type,expected_document_ids,returned_document_ids,returned_chunk_ids,precision_at_1,precision_at_3,precision_at_5,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,hit,exact_document_success,latency_ms
keyword,rq-apo-008-athena-query-cost-guardrails-terminology,"In the context of athena query cost guardrails and workgroup controls, what does the term 'scan cutoff' mean operationally?",cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-009-athena-result-location-security,apo-008-athena-query-cost-guardrails:000000;apo-008-athena-query-cost-guardrails:000005;apo-008-athena-query-cost-guardrails:000003;apo-008-athena-query-cost-guardrails:000001;apo-009-athena-result-location-security:000004,1.0,1.0,0.8,1.0,1.0,1.0,1.0,True,True,11.084
hybrid,rq-apo-008-athena-query-cost-guardrails-terminology,"In the context of athena query cost guardrails and workgroup controls, what does the term 'scan cutoff' mean operationally?",cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-028-cost-optimization-storage-compute;apo-008-athena-query-cost-guardrails;apo-009-athena-result-location-security;apo-007-athena-partition-projection;apo-002-s3-lifecycle-cost-controls,apo-028-cost-optimization-storage-compute:000006;apo-008-athena-query-cost-guardrails:000006;apo-009-athena-result-location-security:000001;apo-007-athena-partition-projection:000006;apo-002-s3-lifecycle-cost-controls:000006,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,16.273
semantic,rq-apo-008-athena-query-cost-guardrails-multistep,What ordered checks should be completed before declaring success when trying to bound ad hoc query cost without preventing legitimate incident analysis or exposing another environment's results?,cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-006-glue-worker-capacity-tuning;apo-002-s3-lifecycle-cost-controls;apo-012-lambda-dependency-packaging;apo-011-lambda-concurrency-backpressure;apo-028-cost-optimization-storage-compute,apo-006-glue-worker-capacity-tuning:000003;apo-002-s3-lifecycle-cost-controls:000005;apo-012-lambda-dependency-packaging:000005;apo-011-lambda-concurrency-backpressure:000005;apo-028-cost-optimization-storage-compute:000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.355
keyword,rq-apo-008-athena-query-cost-guardrails-multistep,What ordered checks should be completed before declaring success when trying to bound ad hoc query cost without preventing legitimate incident analysis or exposing another environment's results?,cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-028-cost-optimization-storage-compute;apo-015-step-functions-distributed-map-controls;apo-002-s3-lifecycle-cost-controls,apo-008-athena-query-cost-guardrails:000000;apo-008-athena-query-cost-guardrails:000005;apo-028-cost-optimization-storage-compute:000005;apo-015-step-functions-distributed-map-controls:000005;apo-002-s3-lifecycle-cost-controls:000005,1.0,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,True,True,12.0753
hybrid,rq-apo-008-athena-query-cost-guardrails-multistep,What ordered checks should be completed before declaring success when trying to bound ad hoc query cost without preventing legitimate incident analysis or exposing another environment's results?,cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-002-s3-lifecycle-cost-controls;apo-028-cost-optimization-storage-compute;apo-015-step-functions-distributed-map-controls;apo-008-athena-query-cost-guardrails;apo-007-athena-partition-projection,apo-002-s3-lifecycle-cost-controls:000005;apo-028-cost-optimization-storage-compute:000005;apo-015-step-functions-distributed-map-controls:000005;apo-008-athena-query-cost-guardrails:000000;apo-007-athena-partition-projection:000005,0.0,0.0,0.2,0.0,0.0,1.0,0.25,True,True,16.8249
semantic,rq-apo-009-athena-result-location-security-direct,"Which primary control does the guide recommend to keep query results, metadata, and temporary artifacts within the requesting client and environment boundary?",security,intermediate,exact_keyword,apo-009-athena-result-location-security,apo-006-glue-worker-capacity-tuning;apo-021-iam-cross-client-isolation;apo-027-incident-duplicate-records;apo-019-cloudwatch-alarm-runbook;apo-025-pipeline-idempotency-keys,apo-006-glue-worker-capacity-tuning:000004;apo-021-iam-cross-client-isolation:000006;apo-027-incident-duplicate-records:000004;apo-019-cloudwatch-alarm-runbook:000004;apo-025-pipeline-idempotency-keys:000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.2794
keyword,rq-apo-009-athena-result-location-security-direct,"Which primary control does the guide recommend to keep query results, metadata, and temporary artifacts within the requesting client and environment boundary?",security,intermediate,exact_keyword,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-009-athena-result-location-security;apo-008-athena-query-cost-guardrails;apo-007-athena-partition-projection;apo-029-multi-client-namespace-isolation,apo-009-athena-result-location-security:000000;apo-009-athena-result-location-security:000004;apo-008-athena-query-cost-guardrails:000000;apo-007-athena-partition-projection:000005;apo-029-multi-client-namespace-isolation:000001,1.0,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,True,True,11.0443
hybrid,rq-apo-009-athena-result-location-security-direct,"Which primary control does the guide recommend to keep query results, metadata, and temporary artifacts within the requesting client and environment boundary?",security,intermediate,exact_keyword,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-006-glue-worker-capacity-tuning;apo-011-lambda-concurrency-backpressure;apo-009-athena-result-location-security;apo-007-athena-partition-projection,apo-009-athena-result-location-security:000000;apo-006-glue-worker-capacity-tuning:000004;apo-011-lambda-concurrency-backpressure:000001;apo-009-athena-result-location-security:000002;apo-007-athena-partition-projection:000002,1.0,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,True,True,15.3968
semantic,rq-apo-009-athena-result-location-security-paraphrase,"How should a data engineer keep securing athena query result locations repeatable, reviewable, and correctly scoped?",security,intermediate,paraphrase,apo-009-athena-result-location-security,apo-002-s3-lifecycle-cost-controls;apo-036-deployment-rollback-readiness;apo-008-athena-query-cost-guardrails;apo-022-data-quality-quarantine-workflow;apo-002-s3-lifecycle-cost-controls,apo-002-s3-lifecycle-cost-controls:000004;apo-036-deployment-rollback-readiness:000005;apo-008-athena-query-cost-guardrails:000004;apo-022-data-quality-quarantine-workflow:000005;apo-002-s3-lifecycle-cost-controls:000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.1195
keyword,rq-apo-009-athena-result-location-security-paraphrase,"How should a data engineer keep securing athena query result locations repeatable, reviewable, and correctly scoped?",security,intermediate,paraphrase,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-007-athena-partition-projection,apo-009-athena-result-location-security:000000;apo-008-athena-query-cost-guardrails:000000;apo-008-athena-query-cost-guardrails:000002;apo-008-athena-query-cost-guardrails:000005;apo-007-athena-partition-projection:000005,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,10.9908
hybrid,rq-apo-009-athena-result-location-security-paraphrase,"How should a data engineer keep securing athena query result locations repeatable, reviewable, and correctly scoped?",security,intermediate,paraphrase,apo-009-athena-result-location-security,apo-007-athena-partition-projection;apo-008-athena-query-cost-guardrails;apo-002-s3-lifecycle-cost-controls;apo-009-athena-result-location-security;apo-029-multi-client-namespace-isolation,apo-007-athena-partition-projection:000005;apo-008-athena-query-cost-guardrails:000004;apo-002-s3-lifecycle-cost-controls:000004;apo-009-athena-result-location-security:000000;apo-029-multi-client-namespace-isolation:000004,0.0,0.0,0.2,0.0,0.0,1.0,0.25,True,True,15.5798
semantic,rq-apo-009-athena-result-location-security-troubleshooting,"An operator observes this condition: A user can submit a query that writes output to a personal or cross-client bucket prefix. What should be checked first, and what is the safe remediation?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-012-lambda-dependency-packaging;apo-015-step-functions-distributed-map-controls;apo-021-iam-cross-client-isolation;apo-001-s3-prefix-isolation,apo-009-athena-result-location-security:000004;apo-012-lambda-dependency-packaging:000004;apo-015-step-functions-distributed-map-controls:000004;apo-021-iam-cross-client-isolation:000004;apo-001-s3-prefix-isolation:000004,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,2.2969
keyword,rq-apo-009-athena-result-location-security-troubleshooting,"An operator observes this condition: A user can submit a query that writes output to a personal or cross-client bucket prefix. What should be checked first, and what is the safe remediation?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-021-iam-cross-client-isolation;apo-034-qdrant-collection-safety;apo-020-iam-least-privilege-data-pipeline;apo-009-athena-result-location-security,apo-009-athena-result-location-security:000004;apo-021-iam-cross-client-isolation:000004;apo-034-qdrant-collection-safety:000004;apo-020-iam-least-privilege-data-pipeline:000004;apo-009-athena-result-location-security:000003,1.0,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,True,True,12.5116
hybrid,rq-apo-009-athena-result-location-security-troubleshooting,"An operator observes this condition: A user can submit a query that writes output to a personal or cross-client bucket prefix. What should be checked first, and what is the safe remediation?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-021-iam-cross-client-isolation;apo-034-qdrant-collection-safety;apo-009-athena-result-location-security;apo-020-iam-least-privilege-data-pipeline,apo-009-athena-result-location-security:000004;apo-021-iam-cross-client-isolation:000004;apo-034-qdrant-collection-safety:000004;apo-009-athena-result-location-security:000005;apo-020-iam-least-privilege-data-pipeline:000004,1.0,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,True,True,16.5141
semantic,rq-apo-009-athena-result-location-security-terminology,"In the context of securing athena query result locations, what does the term 'enforced result configuration' mean operationally?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-031-pipeline-retry-budget;apo-032-manifest-state-reconciliation;apo-027-incident-duplicate-records;apo-010-lambda-s3-event-idempotency;apo-003-s3-event-delivery-diagnostics,apo-031-pipeline-retry-budget:000006;apo-032-manifest-state-reconciliation:000006;apo-027-incident-duplicate-records:000006;apo-010-lambda-s3-event-idempotency:000006;apo-003-s3-event-delivery-diagnostics:000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.281
keyword,rq-apo-009-athena-result-location-security-terminology,"In the context of securing athena query result locations, what does the term 'enforced result configuration' mean operationally?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-009-athena-result-location-security;apo-008-athena-query-cost-guardrails,apo-009-athena-result-location-security:000000;apo-008-athena-query-cost-guardrails:000000;apo-008-athena-query-cost-guardrails:000002;apo-009-athena-result-location-security:000001;apo-008-athena-query-cost-guardrails:000005,1.0,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,True,True,10.9473
hybrid,rq-apo-009-athena-result-location-security-terminology,"In the context of securing athena query result locations, what does the term 'enforced result configuration' mean operationally?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-009-athena-result-location-security;apo-007-athena-partition-projection;apo-007-athena-partition-projection;apo-009-athena-result-location-security,apo-009-athena-result-location-security:000001;apo-009-athena-result-location-security:000006;apo-007-athena-partition-projection:000001;apo-007-athena-partition-projection:000006;apo-009-athena-result-location-security:000000,1.0,0.6666666666666666,0.6,1.0,1.0,1.0,1.0,True,True,16.1987
semantic,rq-apo-009-athena-result-location-security-multistep,"What ordered checks should be completed before declaring success when trying to keep query results, metadata, and temporary artifacts within the requesting client and environment boundary?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-006-glue-worker-capacity-tuning;apo-002-s3-lifecycle-cost-controls;apo-030-production-deployment-safety;apo-025-pipeline-idempotency-keys;apo-021-iam-cross-client-isolation,apo-006-glue-worker-capacity-tuning:000003;apo-002-s3-lifecycle-cost-controls:000005;apo-030-production-deployment-safety:000005;apo-025-pipeline-idempotency-keys:000005;apo-021-iam-cross-client-isolation:000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.325
keyword,rq-apo-009-athena-result-location-security-multistep,"What ordered checks should be completed before declaring success when trying to keep query results, metadata, and temporary artifacts within the requesting client and environment boundary?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-009-athena-result-location-security;apo-007-athena-partition-projection;apo-009-athena-result-location-security;apo-009-athena-result-location-security;apo-014-step-functions-redrive-safety,apo-009-athena-result-location-security:000000;apo-007-athena-partition-projection:000005;apo-009-athena-result-location-security:000004;apo-009-athena-result-location-security:000005;apo-014-step-functions-redrive-safety:000005,1.0,0.6666666666666666,0.6,1.0,1.0,1.0,1.0,True,True,11.7881
hybrid,rq-apo-009-athena-result-location-security-multistep,"What ordered checks should be completed before declaring success when trying to keep query results, metadata, and temporary artifacts within the requesting client and environment boundary?",security,intermediate,ambiguous,apo-009-athena-result-location-security,apo-002-s3-lifecycle-cost-controls;apo-021-iam-cross-client-isolation;apo-014-step-functions-redrive-safety;apo-007-athena-partition-projection;apo-028-cost-optimization-storage-compute,apo-002-s3-lifecycle-cost-controls:000005;apo-021-iam-cross-client-isolation:000005;apo-014-step-functions-redrive-safety:000005;apo-007-athena-partition-projection:000005;apo-028-cost-optimization-storage-compute:000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,16.1917
semantic,rq-apo-011-lambda-concurrency-backpressure-direct,Which primary control does the guide recommend to control ingestion pressure without exhausting account concurrency or overwhelming downstream storage and model quotas?,reliability,advanced,exact_keyword,apo-011-lambda-concurrency-backpressure,apo-006-glue-worker-capacity-tuning;apo-019-cloudwatch-alarm-runbook;apo-017-eventbridge-archive-replay;apo-023-data-quality-freshness-monitoring;apo-027-incident-duplicate-records,apo-006-glue-worker-capacity-tuning:000004;apo-019-cloudwatch-alarm-runbook:000004;apo-017-eventbridge-archive-replay:000004;apo-023-data-quality-freshness-monitoring:000004;apo-027-incident-duplicate-records:000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.1424
keyword,rq-apo-011-lambda-concurrency-backpressure-direct,Which primary control does the guide recommend to control ingestion pressure without exhausting account concurrency or overwhelming downstream storage and model quotas?,reliability,advanced,exact_keyword,apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure;apo-011-lambda-concurrency-backpressure;apo-020-iam-least-privilege-data-pipeline;apo-025-pipeline-idempotency-keys;apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure:000000;apo-011-lambda-concurrency-backpressure:000002;apo-020-iam-least-privilege-data-pipeline:000003;apo-025-pipeline-idempotency-keys:000000;apo-011-lambda-concurrency-backpressure:000003,1.0,0.6666666666666666,0.6,1.0,1.0,1.0,1.0,True,True,11.0574
hybrid,rq-apo-011-lambda-concurrency-backpressure-direct,Which primary control does the guide recommend to control ingestion pressure without exhausting account concurrency or overwhelming downstream storage and model quotas?,reliability,advanced,exact_keyword,apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure;apo-033-embedding-validation-gate;apo-006-glue-worker-capacity-tuning;apo-007-athena-partition-projection;apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure:000000;apo-033-embedding-validation-gate:000004;apo-006-glue-worker-capacity-tuning:000004;apo-007-athena-partition-projection:000004;apo-011-lambda-concurrency-backpressure:000002,1.0,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,True,True,15.3953
semantic,rq-apo-011-lambda-concurrency-backpressure-paraphrase,"How should a data engineer keep lambda concurrency and pipeline backpressure repeatable, reviewable, and correctly scoped?",reliability,advanced,paraphrase,apo-011-lambda-concurrency-backpressure,apo-031-pipeline-retry-budget;apo-002-s3-lifecycle-cost-controls;apo-017-eventbridge-archive-replay;apo-010-lambda-s3-event-idempotency;apo-002-s3-lifecycle-cost-controls,apo-031-pipeline-retry-budget:000004;apo-002-s3-lifecycle-cost-controls:000004;apo-017-eventbridge-archive-replay:000004;apo-010-lambda-s3-event-idempotency:000004;apo-002-s3-lifecycle-cost-controls:000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.2618
keyword,rq-apo-011-lambda-concurrency-backpressure-paraphrase,"How should a data engineer keep lambda concurrency and pipeline backpressure repeatable, reviewable, and correctly scoped?",reliability,advanced,paraphrase,apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure;apo-011-lambda-concurrency-backpressure;apo-011-lambda-concurrency-backpressure;apo-011-lambda-concurrency-backpressure;apo-001-s3-prefix-isolation,apo-011-lambda-concurrency-backpressure:000000;apo-011-lambda-concurrency-backpressure:000005;apo-011-lambda-concurrency-backpressure:000006;apo-011-lambda-concurrency-backpressure:000004;apo-001-s3-prefix-isolation:000004,1.0,1.0,0.8,1.0,1.0,1.0,1.0,True,True,11.0878
hybrid,rq-apo-011-lambda-concurrency-backpressure-paraphrase,"How should a data engineer keep lambda concurrency and pipeline backpressure repeatable, reviewable, and correctly scoped?",reliability,advanced,paraphrase,apo-011-lambda-concurrency-backpressure,apo-031-pipeline-retry-budget;apo-011-lambda-concurrency-backpressure;apo-002-s3-lifecycle-cost-controls;apo-031-pipeline-retry-budget;apo-025-pipeline-idempotency-keys,apo-031-pipeline-retry-budget:000004;apo-011-lambda-concurrency-backpressure:000004;apo-002-s3-lifecycle-cost-controls:000004;apo-031-pipeline-retry-budget:000003;apo-025-pipeline-idempotency-keys:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,15.1918
semantic,rq-apo-011-lambda-concurrency-backpressure-troubleshooting,"An operator observes this condition: A stack update rolls back because the function requests reserved concurrency while the account must retain the entire small quota as unreserved. What should be checked first, and what is the safe remediation?",reliability,advanced,ambiguous,apo-011-lambda-concurrency-backpressure,apo-006-glue-worker-capacity-tuning;apo-011-lambda-concurrency-backpressure;apo-015-step-functions-distributed-map-controls;apo-001-s3-prefix-isolation;apo-020-iam-least-privilege-data-pipeline,apo-006-glue-worker-capacity-tuning:000006;apo-011-lambda-concurrency-backpressure:000005;apo-015-step-functions-distributed-map-controls:000004;apo-001-s3-prefix-isolation:000004;apo-020-iam-least-privilege-data-pipeline:000006,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,2.2786
keyword,rq-apo-011-lambda-concurrency-backpressure-troubleshooting,"An operator observes this condition: A stack update rolls back because the function requests reserved concurrency while the account must retain the entire small quota as unreserved. What should be checked first, and what is the safe remediation?",reliability,advanced,ambiguous,apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure;apo-011-lambda-concurrency-backpressure;apo-011-lambda-concurrency-backpressure;apo-036-deployment-rollback-readiness;apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure:000004;apo-011-lambda-concurrency-backpressure:000003;apo-011-lambda-concurrency-backpressure:000000;apo-036-deployment-rollback-readiness:000004;apo-011-lambda-concurrency-backpressure:000002,1.0,1.0,0.8,1.0,1.0,1.0,1.0,True,True,11.911
hybrid,rq-apo-011-lambda-concurrency-backpressure-troubleshooting,"An operator observes this condition: A stack update rolls back because the function requests reserved concurrency while the account must retain the entire small quota as unreserved. What should be checked first, and what is the safe remediation?",reliability,advanced,ambiguous,apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure;apo-001-s3-prefix-isolation;apo-011-lambda-concurrency-backpressure;apo-019-cloudwatch-alarm-runbook;apo-011-lambda-concurrency-backpressure,apo-011-lambda-concurrency-backpressure:000003;apo-001-s3-prefix-isolation:000004;apo-011-lambda-concurrency-backpressure:000004;apo-019-cloudwatch-alarm-runbook:000004;apo-011-lambda-concurrency-backpressure:000005,1.0,0.6666666666666666,0.6,1.0,1.0,1.0,1.0,True,True,17.145
semantic,rq-apo-011-lambda-concurrency-backpressure-terminology,"In the context of lambda concurrency and pipeline backpressure, what does the term 'backpressure' mean operationally?",reliability,advanced,ambiguous,apo-011-lambda-concurrency-backpressure,apo-015-step-functions-distributed-map-controls;apo-028-cost-optimization-storage-compute;apo-031-pipeline-retry-budget;apo-021-iam-cross-client-isolation;apo-002-s3-lifecycle-cost-controls,apo-015-step-functions-distributed-map-controls:000006;apo-028-cost-optimization-storage-compute:000006;apo-031-pipeline-retry-budget:000006;apo-021-iam-cross-client-isolation:000006;apo-002-s3-lifecycle-cost-controls:000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.2847
