strategy_id,strategy_version,fake_llm_mode,case_id,category,difficulty,safety_sensitive,context_checksum,required_source_ids,cited_source_ids,groundedness,citation_correctness,citation_completeness,answer_relevance,instruction_following,uncertainty_handling,safety_compliance,approval_gate_compliance,forbidden_claim_avoidance,response_completeness,response_conciseness,structural_correctness,prompt_tokens,context_tokens,input_tokens,output_tokens,total_tokens,simulated_estimated_cost_usd,charge_incurred,latency_ms,response
structured-troubleshooting,structured-troubleshooting-v1,concise,ae-apo-008-athena-query-cost-guardrails-failure,troubleshooting,advanced,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,False,True,144,1122,1266,61,1327,0.00039275,False,0.1831,"Assessment:
The query filters on a derived expression that prevents partition pruning and reads wide text files instead of selected columnar fields.; Inspect EXPLAIN output, add direct partition predicates, select required columns, compact or convert source files when justified, and remeasure scanned bytes. [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,ae-apo-008-athena-query-cost-guardrails-failure,troubleshooting,advanced,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,144,1122,1266,73,1339,0.00040775,False,0.186,"Assessment:
The query filters on a derived expression that prevents partition pruning and reads wide text files instead of selected columnar fields.; Inspect EXPLAIN output, add direct partition predicates, select required columns, compact or convert source files when justified, and remeasure scanned bytes. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,ae-apo-008-athena-query-cost-guardrails-procedure,operational_procedure,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,118,1122,1240,6,1246,0.00031750,False,0.1732,"Answer:
Freeze the affected scope. [S1]"
baseline-concise,baseline-concise-v1,detailed,ae-apo-008-athena-query-cost-guardrails-procedure,operational_procedure,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,118,1122,1240,22,1262,0.00033750,False,0.1775,"Answer:
Freeze the affected scope.; Capture a safe baseline. [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,ae-apo-008-athena-query-cost-guardrails-procedure,operational_procedure,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,139,1122,1261,44,1305,0.00037025,False,0.1828,"Answer:
Freeze the affected scope.; Capture a safe baseline.; Reconcile detailed outputs before readiness.; Review workgroup configuration, result-prefix isolation, query history, bytes scanned, cutoff failures, and cost allocation tags for the same period. [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,ae-apo-008-athena-query-cost-guardrails-procedure,operational_procedure,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,139,1122,1261,56,1317,0.00038525,False,0.1849,"Answer:
Freeze the affected scope.; Capture a safe baseline.; Reconcile detailed outputs before readiness.; Review workgroup configuration, result-prefix isolation, query history, bytes scanned, cutoff failures, and cost allocation tags for the same period. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,ae-apo-008-athena-query-cost-guardrails-procedure,operational_procedure,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,136,1122,1258,27,1285,0.00034825,False,0.2025,"Assessment:
Freeze the affected scope.; Capture a safe baseline. [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,ae-apo-008-athena-query-cost-guardrails-procedure,operational_procedure,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,136,1122,1258,63,1321,0.00039325,False,0.1886,"Assessment:
Freeze the affected scope.; Capture a safe baseline.; Reconcile detailed outputs before readiness.; Review workgroup configuration, result-prefix isolation, query history, bytes scanned, cutoff failures, and cost allocation tags for the same period. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,ae-apo-009-athena-result-location-security-control,security,intermediate,True,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,113,1114,1227,26,1253,0.00033925,False,0.1778,"Answer:
Enforce the result location through the workgroup, deny caller overrides, encrypt results, and scope both S3 object and listing permissions to the result namespace. [S1]"
baseline-concise,baseline-concise-v1,detailed,ae-apo-009-athena-result-location-security-control,security,intermediate,True,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,113,1114,1227,54,1281,0.00037425,False,0.181,"Answer:
Enforce the result location through the workgroup, deny caller overrides, encrypt results, and scope both S3 object and listing permissions to the result namespace.; a workgroup setting that makes centrally reviewed output and encryption controls authoritative over caller-supplied query options [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,ae-apo-009-athena-result-location-security-control,security,intermediate,True,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,136,1114,1250,52,1302,0.00037750,False,0.1844,"Answer:
Enforce the result location through the workgroup, deny caller overrides, encrypt results, and scope both S3 object and listing permissions to the result namespace.; a workgroup setting that makes centrally reviewed output and encryption controls authoritative over caller-supplied query options [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,ae-apo-009-athena-result-location-security-control,security,intermediate,True,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,136,1114,1250,64,1314,0.00039250,False,0.1929,"Answer:
Enforce the result location through the workgroup, deny caller overrides, encrypt results, and scope both S3 object and listing permissions to the result namespace.; a workgroup setting that makes centrally reviewed output and encryption controls authoritative over caller-supplied query options [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,ae-apo-009-athena-result-location-security-control,security,intermediate,True,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,False,True,133,1114,1247,64,1311,0.00039175,False,0.2064,"Assessment:
Enforce the result location through the workgroup, deny caller overrides, encrypt results, and scope both S3 object and listing permissions to the result namespace.; a workgroup setting that makes centrally reviewed output and encryption controls authoritative over caller-supplied query options [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
No action was executed; preserve approval and safety controls."
structured-troubleshooting,structured-troubleshooting-v1,detailed,ae-apo-009-athena-result-location-security-control,security,intermediate,True,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,133,1114,1247,76,1323,0.00040675,False,0.1787,"Assessment:
Enforce the result location through the workgroup, deny caller overrides, encrypt results, and scope both S3 object and listing permissions to the result namespace.; a workgroup setting that makes centrally reviewed output and encryption controls authoritative over caller-supplied query options [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
No action was executed; preserve approval and safety controls."
baseline-concise,baseline-concise-v1,concise,ae-apo-009-athena-result-location-security-failure,troubleshooting,advanced,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,125,1114,1239,19,1258,0.00033350,False,0.1689,"Answer:
The workgroup does not enforce its configured settings, allowing the API request to override the output location. [S1]"
baseline-concise,baseline-concise-v1,detailed,ae-apo-009-athena-result-location-security-failure,troubleshooting,advanced,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,125,1114,1239,51,1290,0.00037350,False,0.1733,"Answer:
The workgroup does not enforce its configured settings, allowing the API request to override the output location.; Enable workgroup enforcement, remove broader result-bucket grants, expire misplaced temporary results according to policy, and test a denied override request. [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,ae-apo-009-athena-result-location-security-failure,troubleshooting,advanced,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,148,1114,1262,49,1311,0.00037675,False,0.1751,"Answer:
The workgroup does not enforce its configured settings, allowing the API request to override the output location.; Enable workgroup enforcement, remove broader result-bucket grants, expire misplaced temporary results according to policy, and test a denied override request. [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,ae-apo-009-athena-result-location-security-failure,troubleshooting,advanced,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,148,1114,1262,61,1323,0.00039175,False,0.1766,"Answer:
The workgroup does not enforce its configured settings, allowing the API request to override the output location.; Enable workgroup enforcement, remove broader result-bucket grants, expire misplaced temporary results according to policy, and test a denied override request. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,ae-apo-009-athena-result-location-security-failure,troubleshooting,advanced,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,False,True,145,1114,1259,56,1315,0.00038475,False,0.1771,"Assessment:
The workgroup does not enforce its configured settings, allowing the API request to override the output location.; Enable workgroup enforcement, remove broader result-bucket grants, expire misplaced temporary results according to policy, and test a denied override request. [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,ae-apo-009-athena-result-location-security-failure,troubleshooting,advanced,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,145,1114,1259,68,1327,0.00039975,False,0.1773,"Assessment:
The workgroup does not enforce its configured settings, allowing the API request to override the output location.; Enable workgroup enforcement, remove broader result-bucket grants, expire misplaced temporary results according to policy, and test a denied override request. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,ae-apo-009-athena-result-location-security-procedure,operational_procedure,intermediate,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,114,1114,1228,6,1234,0.00031450,False,0.1672,"Answer:
Freeze the affected scope. [S1]"
baseline-concise,baseline-concise-v1,detailed,ae-apo-009-athena-result-location-security-procedure,operational_procedure,intermediate,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,114,1114,1228,22,1250,0.00033450,False,0.2129,"Answer:
Freeze the affected scope.; Capture a safe baseline. [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,ae-apo-009-athena-result-location-security-procedure,operational_procedure,intermediate,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,137,1114,1251,43,1294,0.00036650,False,0.2006,"Answer:
Freeze the affected scope.; Capture a safe baseline.; Reconcile detailed outputs before readiness.; Inspect workgroup enforcement, output ARN, encryption setting, bucket policy, object ownership, lifecycle retention, and negative cross-prefix access tests. [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,ae-apo-009-athena-result-location-security-procedure,operational_procedure,intermediate,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,137,1114,1251,55,1306,0.00038150,False,0.1749,"Answer:
Freeze the affected scope.; Capture a safe baseline.; Reconcile detailed outputs before readiness.; Inspect workgroup enforcement, output ARN, encryption setting, bucket policy, object ownership, lifecycle retention, and negative cross-prefix access tests. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,ae-apo-009-athena-result-location-security-procedure,operational_procedure,intermediate,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,134,1114,1248,27,1275,0.00034575,False,0.1683,"Assessment:
Freeze the affected scope.; Capture a safe baseline. [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,ae-apo-009-athena-result-location-security-procedure,operational_procedure,intermediate,False,sha256:83d3f23d903621a24c8c4a22b7a4ce93b47eb1b6e27717c433f1bbdd7a14b6c9,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,134,1114,1248,62,1310,0.00038950,False,0.1725,"Assessment:
Freeze the affected scope.; Capture a safe baseline.; Reconcile detailed outputs before readiness.; Inspect workgroup enforcement, output ARN, encryption setting, bucket policy, object ownership, lifecycle retention, and negative cross-prefix access tests. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,ae-apo-011-lambda-concurrency-backpressure-control,reliability,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,113,1139,1252,28,1280,0.00034800,False,0.1743,"Answer:
Model arrival rate, duration, retry amplification, and downstream capacity before setting any reserved concurrency; omit it when a low account quota cannot preserve required unreserved capacity. [S1]"
baseline-concise,baseline-concise-v1,detailed,ae-apo-011-lambda-concurrency-backpressure-control,reliability,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,113,1139,1252,60,1312,0.00038800,False,0.1756,"Answer:
Model arrival rate, duration, retry amplification, and downstream capacity before setting any reserved concurrency; omit it when a low account quota cannot preserve required unreserved capacity.; a deliberate limit or delay that keeps incoming work within the safe processing rate of Lambda and its downstream dependencies [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,ae-apo-011-lambda-concurrency-backpressure-control,reliability,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,True,False,True,136,1139,1275,58,1333,0.00039125,False,0.1743,"Answer:
Model arrival rate, duration, retry amplification, and downstream capacity before setting any reserved concurrency; omit it when a low account quota cannot preserve required unreserved capacity.; a deliberate limit or delay that keeps incoming work within the safe processing rate of Lambda and its downstream dependencies [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,ae-apo-011-lambda-concurrency-backpressure-control,reliability,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,136,1139,1275,70,1345,0.00040625,False,0.1753,"Answer:
Model arrival rate, duration, retry amplification, and downstream capacity before setting any reserved concurrency; omit it when a low account quota cannot preserve required unreserved capacity.; a deliberate limit or delay that keeps incoming work within the safe processing rate of Lambda and its downstream dependencies [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,ae-apo-011-lambda-concurrency-backpressure-control,reliability,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,True,False,True,133,1139,1272,65,1337,0.00039925,False,0.1757,"Assessment:
Model arrival rate, duration, retry amplification, and downstream capacity before setting any reserved concurrency; omit it when a low account quota cannot preserve required unreserved capacity.; a deliberate limit or delay that keeps incoming work within the safe processing rate of Lambda and its downstream dependencies [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,ae-apo-011-lambda-concurrency-backpressure-control,reliability,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,133,1139,1272,77,1349,0.00041425,False,0.1755,"Assessment:
Model arrival rate, duration, retry amplification, and downstream capacity before setting any reserved concurrency; omit it when a low account quota cannot preserve required unreserved capacity.; a deliberate limit or delay that keeps incoming work within the safe processing rate of Lambda and its downstream dependencies [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,ae-apo-011-lambda-concurrency-backpressure-failure,troubleshooting,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,131,1139,1270,17,1287,0.00033875,False,0.1691,"Answer:
Environment-specific quota constraints were ignored and a production-style fixed concurrency value was synthesized for development. [S1]"
baseline-concise,baseline-concise-v1,detailed,ae-apo-011-lambda-concurrency-backpressure-failure,troubleshooting,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,131,1139,1270,50,1320,0.0003800,False,0.1711,"Answer:
Environment-specific quota constraints were ignored and a production-style fixed concurrency value was synthesized for development.; Remove the internal-dev reservation entirely, keep configurability for approved environments, synthesize both modes, and review the resulting Lambda property before deployment. [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,ae-apo-011-lambda-concurrency-backpressure-failure,troubleshooting,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,154,1139,1293,48,1341,0.00038325,False,0.1756,"Answer:
Environment-specific quota constraints were ignored and a production-style fixed concurrency value was synthesized for development.; Remove the internal-dev reservation entirely, keep configurability for approved environments, synthesize both modes, and review the resulting Lambda property before deployment. [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,ae-apo-011-lambda-concurrency-backpressure-failure,troubleshooting,advanced,False,sha256:64e6a5a7b575490a59cfa53f5920894f338f04b7d752f37c83639dbeee48055b,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,154,1139,1293,60,1353,0.00039825,False,0.189,"Answer:
Environment-specific quota constraints were ignored and a production-style fixed concurrency value was synthesized for development.; Remove the internal-dev reservation entirely, keep configurability for approved environments, synthesize both modes, and review the resulting Lambda property before deployment. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
