strategy,query_id,query,category,difficulty,match_type,expected_document_ids,returned_document_ids,returned_chunk_ids,precision_at_1,precision_at_3,precision_at_5,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,hit,exact_document_success,latency_ms
hybrid,athena-exact-partitions,partition projection repair physical S3 layout schema mismatch,athena_troubleshooting,easy,exact_keyword,demo-athena-query-troubleshooting,demo-athena-query-troubleshooting;demo-pyspark-transformations;demo-cost-awareness;demo-s3-data-lake-architecture;demo-glue-job-troubleshooting,demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000;demo-cost-awareness:000000;demo-s3-data-lake-architecture:000000;demo-glue-job-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2603
semantic,athena-paraphrase-scan,How can serverless SQL read fewer bytes and finish more cheaply?,athena_troubleshooting,hard,paraphrase,demo-athena-query-troubleshooting,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-cost-awareness;demo-s3-data-lake-architecture;demo-pipeline-monitoring,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-cost-awareness:000000;demo-s3-data-lake-architecture:000000;demo-pipeline-monitoring:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.0754
keyword,athena-paraphrase-scan,How can serverless SQL read fewer bytes and finish more cheaply?,athena_troubleshooting,hard,paraphrase,demo-athena-query-troubleshooting,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-cost-awareness;demo-iam-least-privilege;demo-glue-job-troubleshooting,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-cost-awareness:000000;demo-iam-least-privilege:000000;demo-glue-job-troubleshooting:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.1246
hybrid,athena-paraphrase-scan,How can serverless SQL read fewer bytes and finish more cheaply?,athena_troubleshooting,hard,paraphrase,demo-athena-query-troubleshooting,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-cost-awareness;demo-iam-least-privilege;demo-s3-data-lake-architecture,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-cost-awareness:000000;demo-iam-least-privilege:000000;demo-s3-data-lake-architecture:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.2944
semantic,athena-ambiguous-types,Columns have inconsistent types across partitions,athena_troubleshooting,medium,ambiguous,demo-athena-query-troubleshooting,demo-athena-query-troubleshooting;demo-pyspark-transformations;demo-cost-awareness;demo-pipeline-monitoring;demo-s3-data-lake-architecture,demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000;demo-cost-awareness:000000;demo-pipeline-monitoring:000000;demo-s3-data-lake-architecture:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.0703
keyword,athena-ambiguous-types,Columns have inconsistent types across partitions,athena_troubleshooting,medium,ambiguous,demo-athena-query-troubleshooting,demo-athena-query-troubleshooting;demo-pyspark-transformations;demo-s3-data-lake-architecture,demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000;demo-s3-data-lake-architecture:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1271
hybrid,athena-ambiguous-types,Columns have inconsistent types across partitions,athena_troubleshooting,medium,ambiguous,demo-athena-query-troubleshooting,demo-athena-query-troubleshooting;demo-pyspark-transformations;demo-s3-data-lake-architecture;demo-cost-awareness;demo-pipeline-monitoring,demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000;demo-s3-data-lake-architecture:000000;demo-cost-awareness:000000;demo-pipeline-monitoring:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.258
semantic,athena-paraphrase-columnar,Select only needed fields and store them in a compressed column-oriented format,athena_troubleshooting,hard,paraphrase,demo-athena-query-troubleshooting,demo-pyspark-transformations;demo-pipeline-monitoring;demo-cost-awareness;demo-s3-data-lake-architecture,demo-pyspark-transformations:000000;demo-pipeline-monitoring:000000;demo-cost-awareness:000000;demo-s3-data-lake-architecture:000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0745
keyword,athena-paraphrase-columnar,Select only needed fields and store them in a compressed column-oriented format,athena_troubleshooting,hard,paraphrase,demo-athena-query-troubleshooting,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-iam-least-privilege;demo-s3-data-lake-architecture;demo-glue-job-troubleshooting,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-iam-least-privilege:000000;demo-s3-data-lake-architecture:000000;demo-glue-job-troubleshooting:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.1325
hybrid,athena-paraphrase-columnar,Select only needed fields and store them in a compressed column-oriented format,athena_troubleshooting,hard,paraphrase,demo-athena-query-troubleshooting,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-s3-data-lake-architecture;demo-pipeline-monitoring;demo-cost-awareness,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-s3-data-lake-architecture:000000;demo-pipeline-monitoring:000000;demo-cost-awareness:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.2773
semantic,iam-exact-policy-types,trust policy permission policies wildcard actions resources,iam_least_privilege,easy,exact_keyword,demo-iam-least-privilege,demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-pipeline-monitoring;demo-athena-query-troubleshooting;demo-pyspark-transformations,demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-pipeline-monitoring:000000;demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.0704
keyword,iam-exact-policy-types,trust policy permission policies wildcard actions resources,iam_least_privilege,easy,exact_keyword,demo-iam-least-privilege,demo-iam-least-privilege;demo-glue-job-troubleshooting;demo-cost-awareness,demo-iam-least-privilege:000000;demo-glue-job-troubleshooting:000000;demo-cost-awareness:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1209
hybrid,iam-exact-policy-types,trust policy permission policies wildcard actions resources,iam_least_privilege,easy,exact_keyword,demo-iam-least-privilege,demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-cost-awareness;demo-pipeline-monitoring;demo-athena-query-troubleshooting,demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-cost-awareness:000000;demo-pipeline-monitoring:000000;demo-athena-query-troubleshooting:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.2563
semantic,iam-exact-boundaries,least privilege S3 prefixes Glue catalog CloudWatch Logs conditions,iam_least_privilege,easy,exact_keyword,demo-iam-least-privilege,demo-s3-data-lake-architecture;demo-iam-least-privilege;demo-athena-query-troubleshooting,demo-s3-data-lake-architecture:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.0702
keyword,iam-exact-boundaries,least privilege S3 prefixes Glue catalog CloudWatch Logs conditions,iam_least_privilege,easy,exact_keyword,demo-iam-least-privilege,demo-iam-least-privilege;demo-s3-data-lake-architecture;demo-cost-awareness;demo-glue-job-troubleshooting;demo-athena-query-troubleshooting,demo-iam-least-privilege:000000;demo-s3-data-lake-architecture:000000;demo-cost-awareness:000000;demo-glue-job-troubleshooting:000000;demo-athena-query-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1289
hybrid,iam-exact-boundaries,least privilege S3 prefixes Glue catalog CloudWatch Logs conditions,iam_least_privilege,easy,exact_keyword,demo-iam-least-privilege,demo-iam-least-privilege;demo-s3-data-lake-architecture;demo-athena-query-troubleshooting;demo-cost-awareness;demo-glue-job-troubleshooting,demo-iam-least-privilege:000000;demo-s3-data-lake-architecture:000000;demo-athena-query-troubleshooting:000000;demo-cost-awareness:000000;demo-glue-job-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2671
semantic,iam-paraphrase-minimum,How can a workload receive only the authority it actually needs?,iam_least_privilege,hard,paraphrase,demo-iam-least-privilege,demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-athena-query-troubleshooting;demo-pyspark-transformations;demo-pipeline-monitoring,demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000;demo-pipeline-monitoring:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.0731
keyword,iam-paraphrase-minimum,How can a workload receive only the authority it actually needs?,iam_least_privilege,hard,paraphrase,demo-iam-least-privilege,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-iam-least-privilege;demo-pipeline-monitoring;demo-s3-data-lake-architecture,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-iam-least-privilege:000000;demo-pipeline-monitoring:000000;demo-s3-data-lake-architecture:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333,True,True,0.129
hybrid,iam-paraphrase-minimum,How can a workload receive only the authority it actually needs?,iam_least_privilege,hard,paraphrase,demo-iam-least-privilege,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-iam-least-privilege;demo-glue-job-troubleshooting;demo-pipeline-monitoring,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-iam-least-privilege:000000;demo-glue-job-troubleshooting:000000;demo-pipeline-monitoring:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333,True,True,0.273
